Country,Year,Type,Value,Sector,Department,Programme,Sub-Programme,Name,Notes,Changes
Vanuatu,2012,aggr,6893481,Ministry of Education,Executive Management and Corporate Services,Policy & Planning Division,Facilities Unit,Facilities Unit,,
Vanuatu,2012,aggr,19015449,Ministry of Education,Executive Management and Corporate Services,Policy & Planning Division,Information and Communication Technology Unit,Information and Communication Technology Unit,,
Vanuatu,2012,aggr,5303153,Ministry of Education,Executive Management and Corporate Services,Policy & Planning Division,VEMIS Unit,VEMIS Unit,,
Vanuatu,2012,aggr,0,Ministry of Education,Executive Management and Corporate Services,Policy & Planning Division,Human Resource Development,Human Resource Development,,
Vanuatu,2012,aggr,44485095,Ministry of Education,Executive Management and Corporate Services,Policy & Planning Division,,Policy & Planning Division,,
Vanuatu,2012,aggr,31364919,Ministry of Education,School Administration Division,Office of the Director of School Administration,,Office of the Director of School Administration,,
Vanuatu,2012,aggr,10288216,Ministry of Education,School Administration Division,Primary Education Unit,,Primary Education Unit,,
Vanuatu,2012,aggr,6374449,Ministry of Education,School Administration Division,Secondary Education Unit,,Secondary Education Unit,,
Vanuatu,2012,aggr,13526438,Ministry of Education,School Administration Division,Early Childhood Education Unit,,Early Childhood Education Unit,,
Vanuatu,2012,aggr,8158922,Ministry of Education,School Administration Division,Torba Provincial Education Office,,Torba Provincial Education Office,,
Vanuatu,2012,aggr,7832448,Ministry of Education,School Administration Division,Sanma Provincial Education Office,,Sanma Provincial Education Office,,
Vanuatu,2012,aggr,10055216,Ministry of Education,School Administration Division,Penama Provincial Education Office,,Penama Provincial Education Office,,
